
ภาค	จังหวัด	เขต	หน่วยให้บริการ
ภาค 1	กรุงเทพฯ	0	สำนักพหลโยธิน
ภาค 1	กรุงเทพฯ	บางเขน	บางเขน
ภาค 1	กรุงเทพฯ	บางเขน	มหาวิทยาลัยเกษตรศาสตร์
ภาค 1	กรุงเทพฯ	บางเขน	จตุจักร
ภาค 1	กรุงเทพฯ	บางเขน	พงษ์เพชร
ภาค 1	กรุงเทพฯ	บางเขน	ประชาชื่น
ภาค 1	กรุงเทพฯ	บางเขน	เตาปูน
ภาค 1	กรุงเทพฯ	บางเขน	เอนเนอร์ยี่ คอมเพล็กซ์
ภาค 1	กรุงเทพฯ	บางเขน	มาร์เก็ต เพลส วงศ์สว่าง
ภาค 1	กรุงเทพฯ	บางเขน	เซ็นทรัล ลาดพร้าว
ภาค 1	กรุงเทพฯ	บางเขน	ประชานิเวศน์ 1
ภาค 1	กรุงเทพฯ	บางเขน	กรีนพลาซ่า (วังหิน)
ภาค 1	กรุงเทพฯ	บางเขน	อเวนิว รัชโยธิน
ภาค 1	กรุงเทพฯ	ราชวัตร	ราชวัตร
ภาค 1	กรุงเทพฯ	ราชวัตร	ศรีย่าน
ภาค 1	กรุงเทพฯ	ราชวัตร	สวนจิตรลดา
ภาค 1	กรุงเทพฯ	ราชวัตร	มหานาค
ภาค 1	กรุงเทพฯ	ราชวัตร	นางเลิ้ง
ภาค 1	กรุงเทพฯ	ราชวัตร	ทำเนียบรัฐบาล
ภาค 1	กรุงเทพฯ	ราชวัตร	ถนนประดิพัทธ์
ภาค 1	กรุงเทพฯ	ราชวัตร	สุพรีม คอมเพล็กซ์ สามเสน
ภาค 1	กรุงเทพฯ	ราชวัตร	แยกพิชัย
ภาค 1	กรุงเทพฯ	สะพานใหม่	สะพานใหม่
ภาค 1	กรุงเทพฯ	สะพานใหม่	ดอนเมือง
ภาค 1	กรุงเทพฯ	สะพานใหม่	ตลาดวงศกร
ภาค 1	กรุงเทพฯ	สะพานใหม่	อนุสรณ์สถานแห่งชาติ
ภาค 1	กรุงเทพฯ	สะพานใหม่	ตลาดยิ่งเจริญ (ย้ายที่ตั้งสำนักงาน 12-3-67)
ภาค 1	กรุงเทพฯ	สะพานใหม่	ถนนสรงประภา
ภาค 1	กรุงเทพฯ	สะพานใหม่	ศูนย์ราชการเฉลิมพระเกียรติ แจ้งวัฒนะ (อาคาร B)
ภาค 1	กรุงเทพฯ	สะพานใหม่	ไอที สแควร์
ภาค 1	กรุงเทพฯ	สะพานใหม่	กรมการกงสุล
ภาค 1	กรุงเทพฯ	สะพานใหม่	บิ๊กซี แจ้งวัฒนะ (ย้ายไปเปิดให้บริการพื้นที่ชั่วคราว 1-6-68)
ภาค 1	กรุงเทพฯ	สะพานใหม่	ศูนย์ราชการเฉลิมพระเกียรติ แจ้งวัฒนะ (อาคาร A)
ภาค 1	กรุงเทพฯ	สะพานใหม่	วัชรพล
ภาค 2	เชียงใหม่	เมืองเชียงใหม่	เชียงใหม่
ภาค 2	เชียงใหม่	เมืองเชียงใหม่	แกดสวนแก้ว
ภาค 2	เชียงราย	เมืองเชียงราย	เชียงราย
